hsa,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
"Cape Coral, FL",1,11.0,65.4795918367347,6.051391618963456,0.07306327964764404,0.0,28.801,0.0,1.743
"Destin, FL",1,10.5,35.14285714285713,0.0,5.201806709041522,0.0,0.0,0.0,0.0
"Crestview, FL",1,10.0,19.555102040816323,0.0,4.683557048637281,0.0,0.0,0.0,0.0
"Punta Gorda, FL",1,9.5,20.191836734693865,0.0,5.303501933922267,0.0,0.0,0.0,0.0
"Port St. Lucie, FL",1,9.5,50.73061224489796,1.0340784608804476,0.48328657624080973,0.0,3.671,0.0,0.631
"Coral Gables, FL",1,9.0,46.793877551020415,1.3306057374423552,0.0,0.0,5.828,0.0,0.555
"Coral Springs, FL",1,8.5,78.83265306122449,36.70198475725199,0.0,0.0,161.478,0.0,8.232
"Lake City, FL",1,8.5,45.397959183673464,1.5145404011086088,0.0,0.0,5.807,0.0,0.516
"Plant City, FL",1,8.5,49.11428571428572,2.3700626750634948,0.0,0.0,9.827,0.0,0.885
"Lehigh Acres, FL",1,8.0,9.00049261083744,0.0,2.274401059379737,0.0,0.0,0.0,0.0
"Clermont, FL",1,8.0,57.63061224489796,11.071085007689014,0.0,0.0,44.712,0.0,3.333
"New Smyrna Beach, FL",1,7.0,14.938775510204081,0.0,5.94071962706137,0.0,0.0,0.0,0.0
"Ocoee, FL",1,6.5,19.812244897959182,0.0,3.1662244831235697,0.0,0.0,0.0,0.0
"Milton, FL",1,6.5,25.591836734693874,0.0,5.825149980946763,0.0,0.0,0.0,0.0
"Bartow, FL",1,6.0,24.697959183673472,0.0,5.5417634994455485,0.0,0.0,0.0,0.0
"Crystal River, FL",1,6.0,13.469387755102042,0.0,5.254667753359553,0.0,0.0,0.0,0.0
"Cocoa Beach, FL",1,6.0,14.853061224489792,0.0,3.8414283124605477,0.0,0.0,0.0,0.0
"Titusville, FL",1,6.0,13.469387755102039,0.0,3.3784626683467502,0.0,0.0,0.0,0.0
"Sun City Center, FL",1,6.0,10.481632653061226,0.0,5.497118885997278,0.0,0.0,0.0,0.0
"Atlantis, FL",2,5.5,28.8734693877551,3.92312037801055,0.0,0.0,13.979,0.0,1.537
"Tarpon Springs, FL",1,5.0,23.320408163265306,0.0,2.370474925708816,0.0,0.0,0.0,0.0
"Winter Park, FL",1,5.0,14.755102040816325,0.0,2.4470438031403785,0.0,0.0,0.0,0.0
"Palatka, FL",1,5.0,23.45510204081632,1.2963937491913469,0.0,0.0,3.439,0.0,0.455
"Niceville, FL",1,4.5,16.751020408163264,0.0,2.005341312836987,0.0,0.0,0.0,0.0
"Dade City, FL",1,4.0,14.856734693877552,0.08565082483054454,0.0,0.0,0.086,0.0,0.086
"Lake Wales, FL",1,4.0,11.614285714285712,0.0,4.417990236111122,0.0,0.0,0.0,0.0
"Jacksonville Beach, FL",1,4.0,16.47515216229111,0.049651842561447494,0.0,0.0,0.083,0.0,0.041
"Delray Beach, FL",1,4.0,15.41938775510204,0.0,2.057872922779238,0.0,0.0,0.0,0.0
"Englewood, FL",1,4.0,20.24448979591837,0.0,1.269503451150967,0.0,0.0,0.0,0.0
"Gulf Breeze, FL",1,4.0,24.440816326530612,5.874828412664764,0.0,0.531,25.679,0.531,1.472
"Key West, FL",1,4.0,21.79363594130843,1.4691827950930907,0.0,0.0,4.475,0.0,0.739
"Okeechobee, FL",1,4.0,27.483673469387764,8.230523784801916,0.0,0.0,36.206,0.0,2.992
"St. Cloud, FL",1,4.0,26.461224489795917,3.1605459685623187,0.07205097839454964,0.0,14.283,0.0,1.137
"Zephyrhills, FL",1,3.5,47.44897959183673,27.942107281596122,0.0,0.0,123.362,0.0,6.214
"Sebastian, FL",1,3.5,12.10408163265306,0.0,1.7772832472636442,0.0,0.0,0.0,0.0
"De Funiak Springs, FL",1,3.0,0.0,0.0,13.927291517610676,0.0,0.0,0.0,0.0
"Belle Glade, FL",1,3.0,18.740816326530613,3.8795837865974745,0.09897441119714843,0.0,19.961,0.0,1.177
"Clewiston, FL",1,2.0,7.9714285714285715,0.0,2.6787636367746104,0.0,0.0,0.0,0.0
"Tavernier, FL",1,2.0,2.1997599039615836,0.0,0.9520114115972655,0.0,0.0,0.0,0.0
"Port St. Joe, FL",1,0.0,9.042857142857141,9.042857142857143,0.0,0.0,42.426,0.0,1.709
"Blountstown, FL",1,0.0,5.185714285714284,5.185714285714285,0.0,0.0,23.647,0.0,1.023
"Dothan, AL",1,0.0,6.164285714285714,6.164285714285713,0.0,0.0,28.783,0.0,1.074
"Marathon, FL",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Apalachicola, FL",1,0.0,0.5231256557190814,0.5231256557190814,0.0,0.0,1.921,0.0,0.195
"Madison, FL",1,0.0,3.011020408163265,3.011020408163265,0.0,0.0,13.76,0.0,0.846
"Chipley, FL",1,0.0,9.750612244897955,9.750612244897958,0.0,0.0,46.092,0.0,1.678
"Rockledge, FL",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
