hospital_id,date,weeks_out,admissions_icu,admissions_acute,admissions_combined_ped,admissions_icu_lb,admissions_acute_lb,admissions_combined_ped_lb,admissions_icu_ub,admissions_acute_ub,admissions_combined_ped_ub,admissions_combined,admissions_combined_lb,admissions_combined_ub
010051,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010051,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010051,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010052,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010052,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010052,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010052,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010052,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010055,2022-01-01,0,153.9075630252101,153.90756302521012,0.0,153.9075630252101,153.90756302521012,0.0,153.9075630252101,153.90756302521012,0.0,307.8151260504202,307.8151260504202,307.8151260504202
010055,2022-01-08,1,174.7058823529412,174.70588235294122,0.0,151.1344537815126,151.13445378151263,0.0,215.3781512605042,215.37815126050424,0.0,349.41176470588243,302.2689075630252,430.7563025210085
010055,2022-01-15,2,208.4453781512605,208.44537815126054,0.0,144.2016806722689,144.20168067226894,0.0,277.7731092436975,277.77310924369755,0.0,416.890756302521,288.40336134453787,555.546218487395
010055,2022-01-22,3,252.8151260504202,252.81512605042022,0.0,177.94117647058823,177.94117647058826,0.0,323.5294117647059,323.5294117647059,0.0,505.6302521008404,355.88235294117646,647.0588235294118
010055,2022-01-29,4,262.52100840336135,262.5210084033614,0.0,171.9327731092437,171.93277310924373,0.0,374.83193277310926,374.8319327731093,0.0,525.0420168067228,343.86554621848745,749.6638655462186
010056,2022-01-01,0,751.3282247765006,751.3282247765004,0.0,751.3282247765006,751.3282247765004,0.0,751.3282247765006,751.3282247765004,0.0,1502.656449553001,1502.656449553001,1502.656449553001
010056,2022-01-08,1,739.052362707535,739.0523627075349,0.0,631.6385696040868,631.6385696040867,0.0,807.8199233716474,807.8199233716473,0.0,1478.1047254150699,1263.2771392081736,1615.6398467432946
010056,2022-01-15,2,736.2107279693486,736.2107279693485,0.0,592.3103448275862,592.310344827586,0.0,884.8850574712643,884.8850574712641,0.0,1472.421455938697,1184.620689655172,1769.7701149425284
010056,2022-01-22,3,716.205619412516,716.2056194125157,0.0,490.01149425287355,490.01149425287343,0.0,967.860791826309,967.8607918263087,0.0,1432.4112388250317,980.022988505747,1935.7215836526177
010056,2022-01-29,4,751.3282247765006,751.3282247765004,0.0,669.4891443167305,669.4891443167303,0.0,902.6168582375478,902.6168582375476,0.0,1502.656449553001,1338.9782886334608,1805.2337164750954
010058,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010058,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010058,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010058,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010058,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010059,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010061,2022-01-01,0,155.0,155.0,0.0,155.0,155.0,0.0,155.0,155.0,0.0,310.0,310.0,310.0
010061,2022-01-08,1,159.0,159.0,0.0,132.0,132.0,0.0,194.0,194.0,0.0,318.0,264.0,388.0
010061,2022-01-15,2,175.0,175.0,0.0,126.0,126.0,0.0,241.0,241.0,0.0,350.0,252.0,482.0
010061,2022-01-22,3,199.0,199.0,0.0,141.0,141.0,0.0,268.0,268.0,0.0,398.0,282.0,536.0
010061,2022-01-29,4,195.0,195.0,0.0,145.0,145.0,0.0,265.0,265.0,0.0,390.0,290.0,530.0
010062,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010062,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010062,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010062,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010062,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010065,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010069,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010069,2022-01-08,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010069,2022-01-15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010069,2022-01-22,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010069,2022-01-29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010073,2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
